"plot";"subplot";"Plant";"indv";"seeds";"fruits";"x_coor2";"y_coor2";"seed.indv";"Bee";"Beetle";"Butterfly";"Fly";"<NA>";"distance";"n_neighbors";"n_neighbors_total";"distance_total";"n_neighbors_inter";"n_neighbors_intra"
3;"C3";"CHFU";14;13;33;"81,5";"57,5";429;0;1;0;1;0;"e";104;104;"e";104;14
3;"C3";"BEMA";7;4;25;"81,5";"57,5";100;0;0;0;0;0;"e";111;111;"e";111;7
3;"C3";"CETE";1;111;7;"81,5";"57,5";777;0;0;0;0;0;"e";117;117;"e";117;1
3;"C3";"SCLA";2;31;3;"81,5";"57,5";93;0;0;0;0;0;"e";116;116;"e";116;2
3;"C3";"SOAS";1;55;2;"81,5";"57,5";110;0;0;0;0;0;"e";118;118;"e";118;0
3;"C4";"LEMA";10;40;1;"81,5";"59";40;0;7;0;0;0;"e";232;232;"e";232;10
3;"C4";"BEMA";5;4;5;"81,5";"59";20;0;0;0;0;0;"e";237;237;"e";237;5
3;"C4";"CETE";2;111;11;"81,5";"59";1221;0;0;0;0;0;"e";240;240;"e";240;2
3;"C4";"CHFU";1;32;4;"81,5";"59";128;0;0;0;0;0;"e";242;242;"e";242;0
3;"C4";"SOAS";1;55;15;"81,5";"59";825;0;0;0;0;0;"e";242;242;"e";242;0
3;"C5";"LEMA";39;58;10;"81,5";"60,5";580;0;1;0;0;0;"e";99;99;"e";99;39
3;"C5";"BEMA";2;4;14;"81,5";"60,5";56;0;0;0;0;0;"e";136;136;"e";136;2
3;"C5";"CETE";2;111;9;"81,5";"60,5";999;0;0;0;0;0;"e";136;136;"e";136;2
3;"C5";"CHFU";4;32;15;"81,5";"60,5";480;0;0;0;0;0;"e";134;134;"e";134;4
3;"C5";"PUPA";1;23;15;"81,5";"60,5";345;0;0;0;0;0;"e";138;138;"e";138;0
3;"D2";"LEMA";8;58;18;"83";"56";1044;1;3;0;0;0;"e";201;201;"e";201;8
3;"D2";"CETE";1;111;21;"83";"56";2331;0;0;0;0;0;"e";208;208;"e";208;1
3;"D2";"PUPA";1;23;22;"83";"56";506;0;0;0;0;0;"e";208;208;"e";208;1
3;"D3";"LEMA";10;58;6,5;"83";"57,5";377;0;4;0;0;0;"e";225;225;"e";225;10
3;"D3";"SCLA";2;31;8;"83";"57,5";248;0;0;0;0;0;"e";233;233;"e";233;2
3;"D4";"PUPA";3;23;7,5;"83";"59";172,5;2;0;0;0;0;"e";230;230;"e";230;3
3;"D4";"CHFU";3;32;13;"83";"59";416;0;0;0;1;0;"e";230;230;"e";230;3
3;"D4";"BEMA";1;4;27;"83";"59";108;0;0;0;0;0;"e";232;232;"e";232;1
3;"D4";"CETE";12;111;8;"83";"59";888;0;0;0;0;0;"e";221;221;"e";221;12
3;"D4";"LEMA";24;58;10;"83";"59";580;0;0;0;0;0;"e";209;209;"e";209;24
3;"D4";"SOAS";1;55;5;"83";"59";275;0;0;0;0;0;"e";232;232;"e";232;1
3;"D5";"PUPA";9;103;31,5;"83";"60,5";3244,5;6;0;0;0;0;"e";123;123;"e";123;9
3;"D5";"LEMA";36;35;4;"83";"60,5";140;0;2;0;2;0;"e";96;96;"e";96;36
