"plot";"subplot";"Group";"Plant";"indv";"seeds";"fruits";"vis"
3;"D5";NA;"BEMA";3;200;50;0
3;"D5";NA;"CETE";1;999;9;0
3;"D6";"Bee";"LEMA";39;531;9;2
3;"D6";"Beetle";"LEMA";39;531;9;2
3;"D6";NA;"BEMA";4;352;88;0
3;"D6";NA;"CETE";4;1887;17;0
3;"D6";NA;"PUPA";5;690;30;0
3;"E1";"Bee";"LEMA";4;232;4;2
3;"E1";"Bee";"PUPA";1;58,7619047619048;14,6904761904762;1
3;"E1";"Beetle";"LEMA";4;232;4;5
3;"E1";"Butterfly";"LEMA";4;232;4;1
3;"E1";"Butterfly";"PUPA";1;58,7619047619048;14,6904761904762;1
3;"E2";"Bee";"LEMA";9;116;2;1
3;"E2";"Beetle";"LEMA";9;116;2;5
3;"E2";"Butterfly";"PUPA";6;820;20,5;1
3;"E2";"Fly";"LEMA";9;116;2;1
3;"E2";"Fly";"PUPA";6;820;20,5;1
3;"E3";"Beetle";"LEMA";26;736;16;2
3;"E3";"Fly";"LEMA";26;736;16;1
3;"E3";NA;"BEMA";1;40;10;0
3;"E3";NA;"CETE";5;888;8;0
3;"E3";NA;"SOAS";1;165;3;0
3;"E4";"Beetle";"LEMA";37;522;9;3
3;"E4";"Fly";"CHFU";1;330,666666666667;10,3333333333333;3
3;"E4";NA;"BEMA";2;344;86;0
3;"E4";NA;"CETE";7;1110;10;0
3;"E4";NA;"PUPA";3;138;6;0
3;"E5";"Beetle";"LEMA";53;405;6;2
3;"E5";NA;"BEMA";2;480;120;0
3;"E5";NA;"CETE";6;444;4;0
3;"E5";NA;"PUPA";4;506;22;0
3;"E6";"Beetle";"LEMA";47;146;2;1
3;"E6";"Fly";"LEMA";47;146;2;1
3;"E6";NA;"BEMA";4;104;26;0
3;"E6";NA;"CETE";4;2442;22;0
3;"E6";NA;"PUPA";5;115;5;0
3;"F1";"Bee";"LEMA";18;381,5;7;1
3;"F1";"Bee";"PUPA";2;902;11;3
3;"F1";"Beetle";"LEMA";18;381,5;7;4
3;"F2";"Beetle";"LEMA";26;560;8;6
3;"F2";"Fly";"CHFU";1;330,666666666667;10,3333333333333;2
3;"F2";NA;"BEMA";2;76;19;0
3;"F3";"Bee";"LEMA";22;250;5;2
3;"F3";"Beetle";"LEMA";22;250;5;8
3;"F3";NA;"BEMA";4;172;43;0
